Violation Type,Violation Section,Violation Description,classification,Charge Level,charge_rows,distinct_source_ids
PC,4573(A),BRING NARCOTIC PARAPHERNALIA INTO PRISON/JAIL (F),other,FELONY,84,84
PC,12022.1,COMMIT FEL ON BAIL OR O/R RELEASE (BAIL+),other,OTHER,84,83
FG,5652,DUMP OR ABANDON REFUSE/ETC IN OR NEAR STATE WATERS (M),other,MISDEMEANOR,83,61
HS,11357(B)(2),POSSESS MARIJUANA OVER AN OUNCE - OVER 18 (M),other,MISDEMEANOR,81,80
PC,243.4(E)(1),SEXUAL BATTERY (M),ambiguous_related,MISDEMEANOR,81,81
VC,23152A,DUI ALCOHOL,other,MISDEMEANOR,80,80
VC,23222(B),POSSESS MARIJUANA 1 OZ OR LESS WHILE DRIVING (I),other,INFRACTION,80,80
PC,272,CONTRIBUTE TO THE DELINQUENCY OF A MINOR (M),other,MISDEMEANOR,80,78
PC,591.5,DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE (M),ambiguous_related,MISDEMEANOR,80,80
PC,25400(A)(2),CARRY CONCEALED WEAPON ON PERSON (F),other,FELONY,78,78
HS,11364(A),POSS CONTROLLED SUBS PARAPHERNALIA,other,MIS,78,76
MC,9.01.020,CAMPING ON PUBLIC PROPERTY,other,INFRACTION,78,75
PC,503,EMBEZZLEMENT [OVER $950] (F),other,FELONY,76,76
PC,487(A),GRAND THEFT (Theft of Mot Veh Parts/Acc) (F),other,FELONY,76,73
PC,25850(A),CARRY LOADED FIREARM IN PUBLIC UNDER SPECIFIC CIRCUMSTANCES (F),other,MISDEMEANOR,76,76
PC,484G,THEFT BY USE OF ACCESS CARD INFORMATION [$950 OR LESS] (M),other,MISDEMEANOR,75,75
PC,532A,OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $950] (F),other,MISDEMEANOR,75,74
PC,22210,MANUFACTURE/SALE/POSSESS/ETC LEADED CANE/BILLY/ETC (M),other,MISDEMEANOR,75,75
CO,MISC,MISC CITY/COUNTY MISDEMEANOR ORDINANCES (M),other,MISDEMEANOR,75,75
PC,490.4(A)(1),THEFT OF MERCHANDISE W/ INTENT TO SELL/EXCHANGE: OVER $950 (F),other,MISDEMEANOR,75,69
BP,25662(A),MINOR POSS ALC (M),other,MISDEMEANOR,73,69
PC,314(1),INDECENT EXPOSURE (M),other,MISDEMEANOR,73,73
PC,166(A)(1),CONTEMPT OF COURT:DISORD BEHAVIOR (M),ambiguous_related,MISDEMEANOR,71,71
PC,29800(B),CONVICTED PERSON POSSESS/OWN/ETC FIREARM (F),other,FELONY,70,70
PC,496D(A),POSSESS STOLEN VEHICLE/VESSEL/ETC (M),other,MISDEMEANOR,70,67
PC,21810,MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES (M),other,MISDEMEANOR,70,70
PC,647.6(A)(1),ANNOY/MOLEST VICTIM UNDER 18 YEARS OF AGE (M),other,MISDEMEANOR,68,68
PC,484,THEFT (M),other,MISDEMEANOR,68,68
PC,4502(A),PRISONER POSS WEAPON (F),other,FELONY,67,67
VC,23152B,DUI ALC/0.08 PERCENT,other,MISDEMEANOR,67,67
PC,827.1,MISD CITE AND RELEASE ON ACTIVE WARRANT,other,MISDEMEANOR,66,66
VC,22350,UNSAFE SPEED (BASIC SPEED LAW) (I),other,INFRACTION,66,66
PC,647(F)DK,DISORD CONDUCT:ALC,other,MISDEMEANOR,66,65
PC,530.5(E),COMMIT MAIL THEFT (M),other,MISDEMEANOR,65,64
BP,4060,POSSESS CONTROLLED SUBSTANCES WITHOUT A PRESCRIPTION (M),other,MISDEMEANOR,65,65
