year,city_normalized,all_source_ids,core_dv_source_ids,dv_order_source_ids,broad_dv_source_ids,source_charge_rows,core_dv_share_of_source_ids
2021,BORREGO SPRINGS,48,12,3,14,74,0.25
2021,BOULEVARD,41,4,0,4,61,0.0975609756097561
2021,CAMP PENDLETON,39,7,3,10,48,0.1794871794871795
2021,CAMPO,70,8,1,9,102,0.11428571428571428
2021,CARDIFF BY THE SEA,12,1,0,1,18,0.08333333333333333
2021,CARLSBAD,134,3,1,4,202,0.022388059701492536
2021,CHINO,3,0,0,0,5,0.0
2021,CHULA VISTA,143,1,5,6,276,0.006993006993006993
2021,CORONADO,3,0,0,0,8,0.0
2021,DEL MAR,61,5,1,6,104,0.08196721311475409
2021,DESCANSO,8,2,0,2,11,0.25
2021,DOWNEY,1,0,0,0,1,0.0
2021,DULZURA,36,2,1,3,57,0.05555555555555555
2021,EL CAJON,243,19,12,30,421,0.07818930041152264
2021,EL CAJON UNINC,517,83,21,101,886,0.16054158607350097
2021,EL CENTRO,8,0,1,1,12,0.0
2021,ENCINITAS,1002,77,6,83,1512,0.07684630738522955
2021,ESCONDIDO,252,17,2,19,402,0.06746031746031746
2021,ESCONDIDO UNINC,120,23,2,25,186,0.19166666666666668
2021,FALLBROOK,770,96,17,111,1146,0.12467532467532468
2021,FONTANA,2,0,0,0,2,0.0
2021,GUATAY,3,2,0,2,3,0.6666666666666666
2021,HEMET,1,0,0,0,1,0.0
2021,IMPERIAL BEACH,723,89,21,106,1105,0.12309820193637622
2021,JACUMBA,15,1,0,1,24,0.06666666666666667
2021,JAMUL,300,13,3,16,510,0.043333333333333335
2021,JULIAN,20,4,2,6,30,0.2
2021,LA JOLLA,3,0,0,0,4,0.0
2021,LA MESA,44,5,2,6,82,0.11363636363636363
2021,LA MESA UNINC,119,21,3,24,187,0.17647058823529413
2021,LAKE ELSINORE,2,0,0,0,2,0.0
2021,LAKESIDE,881,125,26,150,1507,0.14188422247446084
2021,LAS VEGAS,2,0,0,0,2,0.0
2021,LEMON GROVE,862,95,27,119,1318,0.11020881670533643
2021,LINCOLN ACRES,31,4,1,5,49,0.12903225806451613
2021,LOS ANGELES,5,1,1,1,10,0.2
2021,MULTIPLE/CONFLICTING,41,2,1,3,119,0.04878048780487805
2021,MURRIETA,9,0,0,0,9,0.0
2021,NATIONAL CITY,48,4,0,4,81,0.08333333333333333
2021,OCEANSIDE,478,5,1,6,661,0.010460251046025104
2021,OTAY,17,2,0,2,21,0.11764705882352941
2021,PALA,190,23,4,25,283,0.12105263157894737
2021,PALOMAR MOUNTAIN,2,1,0,1,3,0.5
2021,PAUMA VALLEY,77,16,4,20,98,0.2077922077922078
2021,PERRIS,2,0,0,0,2,0.0
2021,PHOENIX,1,0,0,0,1,0.0
2021,PINE VALLEY,111,4,0,4,190,0.036036036036036036
2021,POTRERO,5,2,0,2,10,0.4
2021,POWAY,481,43,4,47,859,0.0893970893970894
2021,POWAY UNINC,4,1,0,1,4,0.25
2021,RAMONA,451,69,7,76,709,0.15299334811529933
2021,RANCHITA,6,1,2,3,6,0.16666666666666666
2021,RANCHO SANTA FE,34,13,1,13,42,0.38235294117647056
2021,RIVERSIDE,5,0,0,0,6,0.0
2021,SAN CLEMENTE,14,0,0,0,41,0.0
2021,SAN DIEGO,622,17,11,26,1022,0.027331189710610933
2021,SAN JACINTO,1,0,0,0,1,0.0
2021,SAN MARCOS,1358,151,17,167,2271,0.11119293078055964
2021,SAN MARCOS UNIN,42,13,3,16,75,0.30952380952380953
2021,SAN YSABEL,4,1,0,1,4,0.25
2021,SAN YSIDRO,8,0,0,0,11,0.0
2021,SANTA ANA,1,0,0,0,1,0.0
2021,SANTA YSABEL,6,0,0,0,10,0.0
2021,SANTEE,1176,100,31,129,1867,0.08503401360544217
2021,SHERIFF (administrative label),1436,72,144,209,1847,0.05013927576601671
2021,SOLANA BEACH,120,13,0,13,195,0.10833333333333334
2021,SOUTH BAY,120,0,0,0,241,0.0
2021,SPRING VALLEY,1255,197,45,236,1972,0.15697211155378485
2021,TECATE,45,2,0,2,49,0.044444444444444446
2021,TEMECULA,4,0,0,0,8,0.0
2021,VALLEY CENTER,394,51,4,55,594,0.12944162436548223
2021,VISTA,2639,240,58,293,4269,0.09094353921940129
2021,VISTA UNINC,144,23,9,30,234,0.1597222222222222
2021,WARNER SPRINGS,20,5,0,5,30,0.25
2022,UNKNOWN/UNREPORTED,9,1,3,4,9,0.1111111111111111
2022,OTHER/UNVERIFIED LOCALITY LABEL,44,0,0,0,57,0.0
2022,4S RANCH,26,13,3,16,31,0.5
2022,ALISO VIEJO,6,0,0,0,16,0.0
2022,ALPINE,461,43,3,46,785,0.09327548806941431
2022,BONITA,67,15,4,19,105,0.22388059701492538
2022,BONSALL,53,13,3,16,81,0.24528301886792453
2022,BORREGO SPRINGS,51,4,3,6,66,0.0784313725490196
2022,BOULEVARD,36,3,0,3,50,0.08333333333333333
2022,CAMP PENDLETON,25,5,0,5,38,0.2
2022,CAMPO,59,8,1,9,71,0.13559322033898305
2022,CARDIFF BY THE SEA,11,0,0,0,19,0.0
2022,CARLSBAD,99,2,1,3,135,0.020202020202020204
2022,CHULA VISTA,115,4,0,4,201,0.034782608695652174
2022,CORONADO,4,0,0,0,8,0.0
2022,DEL MAR,85,5,3,8,131,0.058823529411764705
2022,DESCANSO,7,0,1,1,11,0.0
2022,DULZURA,58,3,0,3,80,0.05172413793103448
2022,EL CAJON,255,15,12,26,449,0.058823529411764705
2022,EL CAJON UNINC,442,65,13,78,703,0.14705882352941177
2022,ENCINITAS,1188,55,6,59,1732,0.046296296296296294
2022,ENCINITAS UNINC,1,0,0,0,1,0.0
2022,ESCONDIDO,285,7,2,9,452,0.02456140350877193
2022,ESCONDIDO UNINC,141,25,1,26,218,0.1773049645390071
2022,FALLBROOK,634,94,16,109,966,0.14826498422712933
2022,FONTANA,1,0,0,0,1,0.0
2022,GUATAY,3,1,0,1,4,0.3333333333333333
2022,HEMET,1,0,0,0,1,0.0
2022,IMPERIAL BEACH,582,73,20,90,855,0.1254295532646048
2022,JACUMBA,6,3,0,3,7,0.5
2022,JAMUL,278,14,4,17,506,0.050359712230215826
2022,JULIAN,22,5,0,5,35,0.22727272727272727
2022,LA JOLLA,1,0,0,0,2,0.0
2022,LA MESA,53,5,0,5,87,0.09433962264150944
2022,LA MESA UNINC,142,21,3,24,236,0.14788732394366197
2022,LAKE ELSINORE,1,0,0,0,3,0.0
2022,LAKESIDE,781,113,29,138,1274,0.1446862996158771
2022,LAS VEGAS,3,0,0,0,3,0.0
2022,LEMON GROVE,773,58,12,70,1137,0.07503234152652005
2022,LINCOLN ACRES,12,2,0,2,18,0.16666666666666666
2022,LONG BEACH,1,0,0,0,2,0.0
2022,LOS ANGELES,1,0,0,0,1,0.0
2022,MORENO VALLEY,1,0,0,0,1,0.0
2022,MULTIPLE/CONFLICTING,48,1,1,2,178,0.020833333333333332
2022,NATIONAL CITY,33,1,0,1,83,0.030303030303030304
2022,OCEANSIDE,662,9,2,11,902,0.013595166163141994
2022,ORANGE,1,0,0,0,1,0.0
2022,OTAY,32,2,0,2,39,0.0625
2022,PALA,142,29,6,34,215,0.20422535211267606
2022,PALOMAR MOUNTAIN,2,2,0,2,4,1.0
2022,PAUMA VALLEY,82,9,1,9,115,0.10975609756097561
2022,PERRIS,1,0,0,0,3,0.0
2022,PHOENIX,1,0,0,0,1,0.0
2022,PINE VALLEY,72,0,0,0,103,0.0
2022,POWAY,584,49,14,61,1046,0.0839041095890411
2022,POWAY UNINC,1,0,0,0,1,0.0
2022,RAMONA,468,73,14,85,729,0.15598290598290598
2022,RANCHITA,3,2,0,2,4,0.6666666666666666
2022,RANCHO SANTA FE,23,5,1,6,35,0.21739130434782608
2022,SAN CLEMENTE,6,0,0,0,10,0.0
2022,SAN DIEGO,739,24,10,33,1202,0.03247631935047361
2022,SAN JACINTO,2,0,0,0,2,0.0
2022,SAN JUAN CAPISTRANO,4,0,0,0,9,0.0
2022,SAN MARCOS,1607,159,23,179,2569,0.09894212818917238
2022,SAN MARCOS UNIN,38,6,0,6,65,0.15789473684210525
2022,SAN YSABEL,8,1,0,1,14,0.125
2022,SAN YSIDRO,5,1,0,1,7,0.2
2022,SANTA ANA,1,0,0,0,1,0.0
2022,SANTA YSABEL,10,2,1,3,14,0.2
2022,SANTEE,993,82,34,116,1541,0.08257804632426989
2022,SHERIFF (administrative label),1419,32,103,132,1891,0.02255109231853418
2022,SOLANA BEACH,127,12,1,13,183,0.09448818897637795
2022,SOUTH BAY,152,0,2,2,276,0.0
2022,SPRING VALLEY,1111,183,39,220,1787,0.16471647164716471
2022,TECATE,49,0,1,1,62,0.0
2022,TEMECULA,9,2,1,3,29,0.2222222222222222
2022,VALLEY CENTER,398,40,7,47,615,0.10050251256281408
2022,VISTA,2514,251,56,301,4075,0.09984089101034209
2022,VISTA UNINC,139,20,4,24,219,0.14388489208633093
2022,WARNER SPRINGS,7,2,0,2,9,0.2857142857142857
2023,OTHER/UNVERIFIED LOCALITY LABEL,36,0,0,0,44,0.0
2023,4S RANCH,24,9,0,9,38,0.375
2023,ALPINE,425,42,5,45,636,0.0988235294117647
2023,BONITA,64,18,1,19,98,0.28125
2023,BONSALL,59,6,0,6,76,0.1016949152542373
2023,BORREGO SPRINGS,48,2,0,2,82,0.041666666666666664
2023,BOULEVARD,30,2,0,2,41,0.06666666666666667
2023,CAMP PENDLETON,18,1,0,1,26,0.05555555555555555
2023,CAMPO,40,11,1,11,61,0.275
2023,CARDIFF BY THE SEA,9,1,0,1,15,0.1111111111111111
2023,CARLSBAD,105,4,3,7,164,0.0380952380952381
2023,CHINO,1,0,0,0,4,0.0
2023,CHULA VISTA,87,5,2,7,198,0.05747126436781609
2023,CORONADO,7,0,0,0,10,0.0
2023,DEL MAR,77,5,3,8,122,0.06493506493506493
2023,DESCANSO,9,5,0,5,10,0.5555555555555556
2023,DULZURA,48,5,0,5,61,0.10416666666666667
2023,EL CAJON,330,26,13,37,495,0.07878787878787878
2023,EL CAJON UNINC,407,78,11,88,623,0.19164619164619165
2023,ENCINITAS,1070,62,11,70,1730,0.05794392523364486
2023,ESCONDIDO,540,14,7,20,694,0.025925925925925925
2023,ESCONDIDO UNINC,190,32,8,37,276,0.16842105263157894
2023,FALLBROOK,563,76,17,93,834,0.1349911190053286
2023,FONTANA,1,0,0,0,1,0.0
2023,GUATAY,2,2,0,2,2,1.0
2023,HEMET,2,0,0,0,2,0.0
2023,IMPERIAL BEACH,737,72,13,84,1139,0.09769335142469471
2023,JACUMBA,6,1,0,1,8,0.16666666666666666
2023,JAMUL,207,9,4,13,351,0.043478260869565216
2023,JULIAN,20,6,0,6,26,0.3
2023,LA JOLLA,4,0,0,0,8,0.0
2023,LA MESA,38,3,0,3,70,0.07894736842105263
2023,LA MESA UNINC,107,18,4,21,208,0.16822429906542055
2023,LAKE ELSINORE,1,0,0,0,1,0.0
2023,LAKESIDE,601,115,17,130,957,0.1913477537437604
2023,LAS VEGAS,1,0,0,0,1,0.0
2023,LEMON GROVE,966,83,12,92,1534,0.08592132505175984
2023,LINCOLN ACRES,19,5,0,5,36,0.2631578947368421
2023,LONG BEACH,1,1,0,1,1,1.0
2023,LOS ANGELES,2,0,0,0,2,0.0
2023,LYNWOOD,1,0,0,0,1,0.0
2023,MULTIPLE/CONFLICTING,28,0,0,0,86,0.0
2023,MURRIETA,1,0,0,0,2,0.0
2023,NATIONAL CITY,37,1,1,2,71,0.02702702702702703
2023,OCEANSIDE,796,4,0,4,1030,0.005025125628140704
2023,OTAY,27,1,0,1,34,0.037037037037037035
2023,PALA,114,18,3,20,186,0.15789473684210525
2023,PALOMAR MOUNTAIN,2,2,0,2,2,1.0
2023,PAUMA VALLEY,75,8,1,9,113,0.10666666666666667
2023,PERRIS,2,0,0,0,2,0.0
2023,PHOENIX,1,0,0,0,2,0.0
2023,PINE VALLEY,38,2,0,2,64,0.05263157894736842
2023,POWAY,621,45,10,55,1051,0.07246376811594203
2023,POWAY UNINC,1,0,0,0,2,0.0
2023,RAMONA,342,65,3,68,506,0.19005847953216373
