cohort,label,unitid,campus_id,institution_name,opeid,branch,address,city,state,zip,reported_enrollment_men,reported_enrollment_women,reported_enrollment_total,filter_2022,filter_2023,filter_2024,candidate_first_campus_suffix001,housing_analysis_selection,source_file
Additional public,Florida,134130,134130022,University of Florida,00153500,North Florida Research and Education Center (Quincy),155 Research Rd,Quincy,FL,32351,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130023,University of Florida,00153500,North Florida Research and Education Center (Marianna),3925 Highway 71,Marianna,FL,32446,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130024,University of Florida,00153500,Plant Science Research and Education Unit,2556 Co Hwy 318,Citra,FL,32113,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130025,University of Florida,00153500,Range Cattle Research and Education Center,3401 Experiment Station Road,Ona,FL,33865,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130026,University of Florida,00153500,Southwest Florida Research and Education Center,2685 Hwy 29 N,Immokalee,FL,34142,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130027,University of Florida,00153500,Tropical Aquaculture Laboratory,1408 24th St SE,Ruskin,FL,33570,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130028,University of Florida,00153500,Tropical Research and Education Center,18905 SW 280th St,Homestead,FL,33031,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130029,University of Florida,00153500,West Florida Research and Education Center (Milton),"5988 Hwy 90, Bldg. 4900",Milton,FL,32583,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130030,University of Florida,00153500,West Florida Research and Education Center (Jay),4253 Experiment Dr,Jay,FL,32565,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130031,University of Florida,00153500,Hastings Demonstration Unit,595 E St. Johns Ave.,Hastings,FL,321450728,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
