unitid,institution,cohort,period,measure,category,geography,denominator_basis,reported_count,population_sum,years,rate_per_1000,rate_status,collection_year,interpretation
110404,Caltech,private,2023,residents,rape,residential,residents,2,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,2024,residents,rape,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,2022,enrollment,fondling,oncampus,enrollment,26,2401,1,10.828821324448146,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2023,enrollment,fondling,oncampus,enrollment,7,2463,1,2.8420625253755585,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2024,enrollment,fondling,oncampus,enrollment,4,2430,1,1.646090534979424,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2022,housingEnrollment,fondling,residential,enrollment,25,2401,1,10.412328196584756,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2023,housingEnrollment,fondling,residential,enrollment,3,2463,1,1.218026796589525,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2024,housingEnrollment,fondling,residential,enrollment,3,2430,1,1.2345679012345678,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2022,residents,fondling,residential,residents,25,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,2023,residents,fondling,residential,residents,3,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,2024,residents,fondling,residential,residents,3,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,2022,enrollment,incest,oncampus,enrollment,0,2401,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2023,enrollment,incest,oncampus,enrollment,0,2463,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2024,enrollment,incest,oncampus,enrollment,0,2430,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2022,housingEnrollment,incest,residential,enrollment,0,2401,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2023,housingEnrollment,incest,residential,enrollment,0,2463,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2024,housingEnrollment,incest,residential,enrollment,0,2430,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2022,residents,incest,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,2023,residents,incest,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,2024,residents,incest,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,2022,enrollment,statutory_rape,oncampus,enrollment,0,2401,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2023,enrollment,statutory_rape,oncampus,enrollment,0,2463,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2024,enrollment,statutory_rape,oncampus,enrollment,0,2430,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2022,housingEnrollment,statutory_rape,residential,enrollment,0,2401,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2023,housingEnrollment,statutory_rape,residential,enrollment,0,2463,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2024,housingEnrollment,statutory_rape,residential,enrollment,0,2430,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2022,residents,statutory_rape,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,2023,residents,statutory_rape,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,2024,residents,statutory_rape,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,2022,enrollment,murder,oncampus,enrollment,0,2401,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2023,enrollment,murder,oncampus,enrollment,0,2463,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2024,enrollment,murder,oncampus,enrollment,0,2430,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2022,housingEnrollment,murder,residential,enrollment,0,2401,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2023,housingEnrollment,murder,residential,enrollment,0,2463,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
