unitid,institution,cohort,period,measure,category,geography,denominator_basis,reported_count,population_sum,years,rate_per_1000,rate_status,collection_year,interpretation
211440,Carnegie Mellon,private,pooled,enrollment,statutory_rape,oncampus,enrollment,0,47486,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,housingEnrollment,statutory_rape,residential,enrollment,,47486,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,residents,statutory_rape,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
211440,Carnegie Mellon,private,pooled,enrollment,murder,oncampus,enrollment,0,47486,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,housingEnrollment,murder,residential,enrollment,,47486,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,residents,murder,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
211440,Carnegie Mellon,private,pooled,enrollment,negligent_manslaughter,oncampus,enrollment,0,47486,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,housingEnrollment,negligent_manslaughter,residential,enrollment,,47486,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,residents,negligent_manslaughter,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
211440,Carnegie Mellon,private,pooled,enrollment,robbery,oncampus,enrollment,0,47486,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,housingEnrollment,robbery,residential,enrollment,,47486,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,residents,robbery,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
211440,Carnegie Mellon,private,pooled,enrollment,aggravated_assault,oncampus,enrollment,0,47486,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,housingEnrollment,aggravated_assault,residential,enrollment,,47486,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,residents,aggravated_assault,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
211440,Carnegie Mellon,private,pooled,enrollment,burglary,oncampus,enrollment,6,47486,3,0.12635303036684498,available,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,housingEnrollment,burglary,residential,enrollment,,47486,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,residents,burglary,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
211440,Carnegie Mellon,private,pooled,enrollment,motor_vehicle_theft,oncampus,enrollment,0,47486,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,housingEnrollment,motor_vehicle_theft,residential,enrollment,,47486,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,residents,motor_vehicle_theft,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
211440,Carnegie Mellon,private,pooled,enrollment,arson,oncampus,enrollment,0,47486,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,housingEnrollment,arson,residential,enrollment,,47486,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,residents,arson,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
211440,Carnegie Mellon,private,pooled,enrollment,domestic_violence,oncampus,enrollment,2,47486,3,0.04211767678894832,available,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,housingEnrollment,domestic_violence,residential,enrollment,,47486,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,residents,domestic_violence,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
211440,Carnegie Mellon,private,pooled,enrollment,dating_violence,oncampus,enrollment,9,47486,3,0.18952954555026744,available,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,housingEnrollment,dating_violence,residential,enrollment,,47486,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,residents,dating_violence,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
211440,Carnegie Mellon,private,pooled,enrollment,stalking,oncampus,enrollment,39,47486,3,0.8212946973844922,available,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,housingEnrollment,stalking,residential,enrollment,,47486,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,residents,stalking,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
144050,Chicago,private,pooled,enrollment,criminal_total,oncampus,enrollment,114,55244,3,2.063572514662226,available,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,housingEnrollment,criminal_total,residential,enrollment,,55244,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,residents,criminal_total,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
144050,Chicago,private,pooled,enrollment,rape,oncampus,enrollment,9,55244,3,0.16291361957859676,available,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,housingEnrollment,rape,residential,enrollment,,55244,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,residents,rape,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
144050,Chicago,private,pooled,enrollment,fondling,oncampus,enrollment,9,55244,3,0.16291361957859676,available,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,housingEnrollment,fondling,residential,enrollment,,55244,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,residents,fondling,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
144050,Chicago,private,pooled,enrollment,incest,oncampus,enrollment,0,55244,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,housingEnrollment,incest,residential,enrollment,,55244,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,residents,incest,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
144050,Chicago,private,pooled,enrollment,statutory_rape,oncampus,enrollment,0,55244,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,housingEnrollment,statutory_rape,residential,enrollment,,55244,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,residents,statutory_rape,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
144050,Chicago,private,pooled,enrollment,murder,oncampus,enrollment,0,55244,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,housingEnrollment,murder,residential,enrollment,,55244,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,residents,murder,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
144050,Chicago,private,pooled,enrollment,negligent_manslaughter,oncampus,enrollment,0,55244,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,housingEnrollment,negligent_manslaughter,residential,enrollment,,55244,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,residents,negligent_manslaughter,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
144050,Chicago,private,pooled,enrollment,robbery,oncampus,enrollment,3,55244,3,0.05430453985953226,available,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,housingEnrollment,robbery,residential,enrollment,,55244,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,residents,robbery,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
144050,Chicago,private,pooled,enrollment,aggravated_assault,oncampus,enrollment,7,55244,3,0.12671059300557527,available,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,housingEnrollment,aggravated_assault,residential,enrollment,,55244,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,residents,aggravated_assault,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
144050,Chicago,private,pooled,enrollment,burglary,oncampus,enrollment,19,55244,3,0.3439287524437043,available,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,housingEnrollment,burglary,residential,enrollment,,55244,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,residents,burglary,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
144050,Chicago,private,pooled,enrollment,motor_vehicle_theft,oncampus,enrollment,66,55244,3,1.1946998769097097,available,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,housingEnrollment,motor_vehicle_theft,residential,enrollment,,55244,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,residents,motor_vehicle_theft,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
144050,Chicago,private,pooled,enrollment,arson,oncampus,enrollment,1,55244,3,0.018101513286510752,available,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,housingEnrollment,arson,residential,enrollment,,55244,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,residents,arson,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
144050,Chicago,private,pooled,enrollment,domestic_violence,oncampus,enrollment,26,55244,3,0.47063934544927954,available,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,housingEnrollment,domestic_violence,residential,enrollment,,55244,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,residents,domestic_violence,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
144050,Chicago,private,pooled,enrollment,dating_violence,oncampus,enrollment,5,55244,3,0.09050756643255377,available,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,housingEnrollment,dating_violence,residential,enrollment,,55244,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,residents,dating_violence,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
144050,Chicago,private,pooled,enrollment,stalking,oncampus,enrollment,30,55244,3,0.5430453985953225,available,2025,Reported offenses relative to enrolled population; not victimization probability
144050,Chicago,private,pooled,housingEnrollment,stalking,residential,enrollment,,55244,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
