year,county,agency_name,jurisdiction_code,months_present,months_absent,total_calls,weapons_involved,sub_firearm,sub_knife,sub_other,sub_personal,weapon_not_rpt,total_strang_suffo,sub_strangulation,sub_suffocation,strangulation_months_with_data,known_partial_months,coverage_note,unit
2005,San Diego County,La Mesa,3708,12,,352,305,1,11,36,257,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,Lemon Grove,37A1,12,,167,165,1,4,13,147,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,National City,3709,12,,577,486,0,18,71,397,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,Oceanside,3710,12,,2267,1224,4,20,159,1041,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,Ocotillo Wells DPR,3724,9,4;6;12,0,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,Poway,37A3,12,,171,160,0,3,20,137,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,San Diego,3711,12,,9614,7609,66,282,1390,5871,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,San Diego Co. Sheriff's Department,3700,12,,2134,2022,17,53,220,1732,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,San Diego Coast DPR,3725,1,1;2;3;4;5;6;8;9;10;11;12,1,1,0,0,0,1,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,San Diego Harbor,3715,12,,5,5,0,0,1,4,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,San Marcos,3712,12,,371,339,0,4,41,294,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,Santee,37A2,12,,309,295,1,1,33,260,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,Solana Beach,37A5,11,4,32,31,0,0,1,30,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,UC San Diego,3797,11,8,18,7,0,0,0,7,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,Vista,3713,12,,551,539,3,8,62,466,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,CA Highway Patrol - San Diego,3799,3,2;3;4;5;6;7;8;9;10,4,4,0,0,0,4,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,CSU San Diego,3714,11,6,19,1,0,0,0,1,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,CSU San Marcos,3732,10,1;4,11,2,0,1,1,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,Carlsbad,3701,12,,472,232,2,3,78,149,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,Chula Vista,3702,12,,1841,1214,12,40,181,981,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,Colorado Desert DPR,3722,11,2,0,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,Coronado,3703,11,11,49,3,0,1,1,1,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,Del Mar,3704,11,2,27,25,0,1,3,21,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,El Cajon,3705,12,,634,363,4,9,45,305,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,Encinitas,37A4,12,,223,190,0,3,25,162,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,Escondido,3706,12,,1020,925,2,20,101,802,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,Imperial Beach,3707,12,,235,215,1,3,19,192,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,La Mesa,3708,12,,363,312,3,8,52,249,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,Lemon Grove,37A1,12,,168,159,1,1,21,136,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,National City,3709,12,,479,431,3,8,69,351,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,Oceanside,3710,12,,2310,1275,7,29,204,1035,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,Ocotillo Wells DPR,3724,10,1;2,1,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,Poway,37A3,12,,147,121,2,0,17,102,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,San Diego,3711,12,,8673,6954,39,260,1284,5371,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,San Diego Co. Sheriff's Department,3700,12,,1924,1812,13,25,210,1564,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,San Diego Coast DPR,3725,4,1;2;4;5;7;8;9;10,3,1,0,0,0,1,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,San Diego Harbor,3715,8,1;2;4;9,40,37,0,0,3,34,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,San Marcos,3712,12,,373,335,2,9,35,289,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2006,San Diego County,Santee,37A2,12,,276,254,2,4,31,217,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
