unitid,institution,period,category,measure,geography,reported_count,population_sum,years,rate_per_1000,source_editions,source_basis
139755,Georgia Tech,2022,robbery,residents,residential,,,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,robbery,enrollment,oncampus,,45296,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,robbery,housingEnrollment,residential,,45296,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2023,robbery,residents,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2023,robbery,enrollment,oncampus,,47946,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2023,robbery,housingEnrollment,residential,,47946,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2024,robbery,residents,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2024,robbery,enrollment,oncampus,,53363,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2024,robbery,housingEnrollment,residential,,53363,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2025,robbery,residents,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2025,robbery,enrollment,oncampus,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2025,robbery,housingEnrollment,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,robbery,residents,residential,,,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,robbery,enrollment,oncampus,,146605,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,robbery,housingEnrollment,residential,,146605,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,aggravated_assault,residents,residential,,,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,aggravated_assault,enrollment,oncampus,,45296,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,aggravated_assault,housingEnrollment,residential,,45296,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2023,aggravated_assault,residents,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2023,aggravated_assault,enrollment,oncampus,,47946,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2023,aggravated_assault,housingEnrollment,residential,,47946,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2024,aggravated_assault,residents,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2024,aggravated_assault,enrollment,oncampus,,53363,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2024,aggravated_assault,housingEnrollment,residential,,53363,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2025,aggravated_assault,residents,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2025,aggravated_assault,enrollment,oncampus,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2025,aggravated_assault,housingEnrollment,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
