period,zip_code,variable,n,changed_more_than_1e_7_f,bias_f,mae_f,max_abs_f
primary_2021_2024,92108,high,1461,2,0.0,0.0005475701574264183,0.3999999999999986
primary_2021_2024,92110,high,1461,2,-6.844626967830351e-05,0.0003422313483915078,0.29999999999999716
primary_2021_2024,92113,high,1461,2,-0.00013689253935659728,0.0006844626967830253,0.5999999999999943
primary_2021_2024,92114,high,1461,2,-0.00013689253935660701,0.0006844626967830253,0.6000000000000014
primary_2021_2024,92115,high,1461,2,6.844626967829864e-05,0.0006160164271047266,0.5
primary_2021_2024,92123,high,1461,2,0.0,0.0005475701574264183,0.3999999999999986
primary_2021_2024,92127,high,1461,3,-0.00013689253935660701,0.00027378507871321403,0.20000000000000284
primary_2021_2024,92154,high,1461,2,0.00013689253935660214,0.0006844626967830302,0.6000000000000014
primary_2021_2024,92173,high,1461,2,6.844626967830351e-05,0.0006160164271047219,0.5
primary_2021_2024,91901,mean,1461,1410,-0.002219464544832119,0.05669178355920594,0.42500000000000426
primary_2021_2024,91902,mean,1461,1409,-0.002678793470225731,0.05311997442847371,0.36666667000000075
primary_2021_2024,91905,mean,1461,1419,0.003900103216974629,0.06137283886379192,0.48333333000000067
primary_2021_2024,91906,mean,1461,1413,-0.003321499171800135,0.0584656329979466,0.5249999999999986
primary_2021_2024,91910,mean,1461,1417,0.0018470671937028764,0.0528454702327176,0.3541666699999979
