outcome,temperature_f,reference_f,count_ratio,ci95_low,ci95_high,within_pooled_1_99pct,interval
all,50.4,70,0.9953902231922136,0.908416400645305,1.0906911144743934,True,pointwise nominal 95%; exploratory
core,82.5975,70,1.0958408190911826,1.0016577650027227,1.1988796400766382,True,pointwise nominal 95%; exploratory
core,83.19375,70,1.0968855737797252,0.9995849323400453,1.20365756129343,True,pointwise nominal 95%; exploratory
core,83.78999999999999,70,1.0977088501640913,0.9971704846399045,1.2083838604225283,True,pointwise nominal 95%; exploratory
core,84.38624999999999,70,1.098330236912836,0.9944142973024293,1.2131053551718276,True,pointwise nominal 95%; exploratory
core,84.98249999999999,70,1.0987694872806575,0.9913218499806984,1.2178631856066784,True,pointwise nominal 95%; exploratory
core,85.57874999999999,70,1.0990464842848044,0.9879041277676158,1.2226927094112956,True,pointwise nominal 95%; exploratory
core,86.175,70,1.0991812093804778,0.9841773329644019,1.2276236106921503,True,pointwise nominal 95%; exploratory
core,86.77125,70,1.0991937146976578,0.9801624390650656,1.2326801908297067,True,pointwise nominal 95%; exploratory
core,87.36749999999999,70,1.0991040988868033,0.975884628093911,1.2378818001768146,True,pointwise nominal 95%; exploratory
core,87.96375,70,1.0989324866076224,0.9713726558767362,1.2432433657828423,True,pointwise nominal 95%; exploratory
core,88.56,70,1.0986990116837068,0.966658187858527,1.2487759721447909,True,pointwise nominal 95%; exploratory
core,89.15625,70,1.0984238039362946,0.9617751421563562,1.2544874577947163,True,pointwise nominal 95%; exploratory
core,89.7525,70,1.0981269797026896,0.9567590684022261,1.2603829985795258,True,pointwise nominal 95%; exploratory
core,90.0,70,1.0980020470078804,0.9546463467083641,1.2628849409945924,True,pointwise nominal 95%; exploratory
core,90.34875,70,1.0978260272235174,0.951643641984366,1.2664635509319895,True,pointwise nominal 95%; exploratory
core,90.945,70,1.0975251555317904,0.946447564839045,1.2727186500077594,True,pointwise nominal 95%; exploratory
core,91.54124999999999,70,1.0972243662973673,0.9411833843967671,1.2791357454405936,True,pointwise nominal 95%; exploratory
core,92.13749999999999,70,1.096923659497651,0.9358621661475335,1.285703769518592,True,pointwise nominal 95%; exploratory
core,92.73374999999999,70,1.0966230351100488,0.930493667227263,1.2924129668904643,True,pointwise nominal 95%; exploratory
core,93.32999999999998,70,1.0963224931119737,0.9250864925472243,1.2992547384339819,True,pointwise nominal 95%; exploratory
core,93.92625,70,1.096022033480847,0.9196482347867938,1.306221501261279,True,pointwise nominal 95%; exploratory
core,94.5225,70,1.0957216561940948,0.9141855986760813,1.3133065644344444,True,pointwise nominal 95%; exploratory
core,95.11874999999999,70,1.09542136122915,0.9087045105499661,1.3205040194098863,True,pointwise nominal 95%; exploratory
core,95.715,70,1.0951211485634502,0.903210214435489,1.3278086439495074,True,pointwise nominal 95%; exploratory
core,96.31125,70,1.0948210181744422,0.8977073560379136,1.3352158181333869,True,pointwise nominal 95%; exploratory
core,96.9075,70,1.0945209700395746,0.8922000559846367,1.3427214511147711,True,pointwise nominal 95%; exploratory
core,97.50375,70,1.0942210041363079,0.8866919736165215,1.350321917327842,True,pointwise nominal 95%; exploratory
core,98.1,70,1.0939211204421042,0.8811863625130305,1.3580140009618145,True,pointwise nominal 95%; exploratory
