month,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
2024-08,CARLSBAD,,71,71,71,71
2024-08,CHULA VISTA,,123,116,122,121
2024-08,EL CAJON,,87,76,86,85
2024-08,ESCONDIDO,,164,156,164,164
2024-08,HARBOR POLICE,,42,42,42,42
2024-08,LA MESA,,52,50,52,52
2024-08,NATIONAL CITY,,42,40,42,42
2024-08,OCEANSIDE,,87,85,87,87
2024-08,SAN DIEGO,,681,663,678,678
2024-08,SHERIFF,,418,416,418,418
2024-09,CARLSBAD,,73,71,73,73
2024-09,CHULA VISTA,,81,80,81,81
2024-09,EL CAJON,,98,83,98,98
2024-09,ESCONDIDO,,157,147,157,157
2024-09,HARBOR POLICE,,31,31,31,31
2024-09,LA MESA,,56,52,56,56
2024-09,NATIONAL CITY,,37,36,37,37
2024-09,OCEANSIDE,,77,75,75,75
2024-09,SAN DIEGO,,656,643,655,654
2024-09,SHERIFF,,456,448,455,455
2024-10,CARLSBAD,,59,59,59,59
2024-10,CHULA VISTA,,106,101,106,106
2024-10,EL CAJON,,97,84,96,96
2024-10,ESCONDIDO,,125,123,125,125
2024-10,HARBOR POLICE,,42,42,42,42
2024-10,LA MESA,,39,39,39,39
2024-10,NATIONAL CITY,,38,34,38,38
2024-10,OCEANSIDE,,87,84,87,87
2024-10,SAN DIEGO,,695,685,695,695
2024-10,SHERIFF,,455,443,454,454
2024-11,CARLSBAD,,47,47,47,47
2024-11,CHULA VISTA,,109,108,109,109
2024-11,EL CAJON,,61,53,61,61
2024-11,ESCONDIDO,,143,141,143,143
2024-11,HARBOR POLICE,,44,44,44,44
2024-11,LA MESA,,55,55,55,55
2024-11,NATIONAL CITY,,32,32,32,32
2024-11,OCEANSIDE,,95,94,95,95
2024-11,SAN DIEGO,,783,756,782,782
2024-11,SHERIFF,,342,338,342,342
2024-12,CARLSBAD,,46,46,46,46
2024-12,CHULA VISTA,,87,86,87,87
2024-12,EL CAJON,,82,73,81,81
2024-12,ESCONDIDO,,126,121,126,126
2024-12,HARBOR POLICE,,40,40,40,40
2024-12,LA MESA,,68,68,68,68
2024-12,NATIONAL CITY,,33,33,33,33
2024-12,OCEANSIDE,,66,66,66,66
2024-12,SAN DIEGO,,773,764,772,772
2024-12,SHERIFF,,264,264,264,264
2025-01,CARLSBAD,,46,46,46,46
2025-01,CHULA VISTA,,120,120,120,120
2025-01,EL CAJON,,86,82,86,86
2025-01,ESCONDIDO,,145,141,145,145
2025-01,HARBOR POLICE,,22,22,22,22
2025-01,LA MESA,,60,58,60,60
2025-01,NATIONAL CITY,,46,46,46,46
2025-01,OCEANSIDE,,80,79,80,80
2025-01,SAN DIEGO,,678,666,678,677
2025-01,SHERIFF,,270,270,270,270
2025-02,CARLSBAD,,55,53,55,55
2025-02,CHULA VISTA,,104,103,104,104
2025-02,EL CAJON,,83,78,82,82
2025-02,ESCONDIDO,,132,131,132,132
2025-02,HARBOR POLICE,,30,30,30,30
2025-02,LA MESA,,56,55,56,56
2025-02,NATIONAL CITY,,46,41,44,44
2025-02,OCEANSIDE,,63,62,63,63
2025-02,SAN DIEGO,,682,671,678,678
2025-02,SHERIFF,,236,236,236,236
2025-03,CARLSBAD,,64,64,64,64
2025-03,CHULA VISTA,,115,115,115,115
2025-03,EL CAJON,,109,96,109,108
2025-03,ESCONDIDO,,166,159,166,166
2025-03,HARBOR POLICE,,29,29,29,29
2025-03,LA MESA,,59,57,59,58
2025-03,NATIONAL CITY,,51,49,51,51
2025-03,OCEANSIDE,,104,104,104,104
2025-03,SAN DIEGO,,761,742,759,759
2025-03,SHERIFF,,273,267,267,272
2025-04,CARLSBAD,,53,52,53,53
2025-04,CHULA VISTA,,101,100,100,100
2025-04,EL CAJON,,83,67,83,83
2025-04,ESCONDIDO,,134,133,134,134
2025-04,HARBOR POLICE,,35,35,35,35
2025-04,LA MESA,,60,60,60,60
2025-04,NATIONAL CITY,,33,31,33,33
2025-04,OCEANSIDE,,101,100,101,101
2025-04,SAN DIEGO,,765,754,765,765
2025-04,SHERIFF,,268,265,265,267
2025-05,CARLSBAD,,67,67,67,67
2025-05,CHULA VISTA,,115,113,114,114
2025-05,EL CAJON,,92,84,92,92
2025-05,ESCONDIDO,,153,152,153,153
2025-05,HARBOR POLICE,,43,43,43,43
2025-05,LA MESA,,68,66,67,67
2025-05,NATIONAL CITY,,38,38,38,38
2025-05,OCEANSIDE,,96,93,96,96
2025-05,SAN DIEGO,,729,725,729,729
2025-05,SHERIFF,,295,291,291,295
2025-06,CARLSBAD,,71,71,71,71
2025-06,CHULA VISTA,,89,86,89,89
2025-06,EL CAJON,,94,88,94,94
2025-06,ESCONDIDO,,146,132,146,146
2025-06,HARBOR POLICE,,38,38,38,38
2025-06,LA MESA,,60,58,60,59
2025-06,NATIONAL CITY,,33,32,33,33
2025-06,OCEANSIDE,,88,88,88,88
