date,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
2021-03-03,CARLSBAD,,2,2,2,2
2021-03-03,EL CAJON,,1,1,1,1
2021-03-03,ESCONDIDO,,2,2,2,2
2021-03-03,HARBOR POLICE,,3,3,3,3
2021-03-03,OCEANSIDE,,2,2,2,2
2021-03-03,SAN DIEGO,,22,22,22,22
2021-03-03,SHERIFF,,10,10,10,10
2021-03-04,EL CAJON,,4,4,4,4
2021-03-04,ESCONDIDO,,4,4,4,4
2021-03-04,HARBOR POLICE,,3,3,3,3
2021-03-04,LA MESA,,2,2,2,2
2021-03-04,NATIONAL CITY,,2,2,2,2
2021-03-04,OCEANSIDE,,2,2,2,2
2021-03-04,SAN DIEGO,,19,17,19,19
2021-03-04,SHERIFF,,11,11,11,11
2021-03-05,CHULA VISTA,,3,3,3,3
2021-03-05,EL CAJON,,4,4,4,4
2021-03-05,ESCONDIDO,,3,3,3,3
2021-03-05,LA MESA,,1,1,1,1
2021-03-05,NATIONAL CITY,,3,3,3,3
2021-03-05,SAN DIEGO,,24,24,24,24
2021-03-05,SHERIFF,,7,7,7,7
2021-03-06,CARLSBAD,,2,2,2,2
2021-03-06,CHULA VISTA,,6,6,6,6
2021-03-06,EL CAJON,,2,2,2,2
2021-03-06,ESCONDIDO,,3,3,3,3
2021-03-06,HARBOR POLICE,,1,1,1,1
2021-03-06,LA MESA,,3,3,3,3
2021-03-06,NATIONAL CITY,,1,1,1,1
2021-03-06,OCEANSIDE,,5,5,5,5
2021-03-06,SAN DIEGO,,23,23,23,23
2021-03-06,SHERIFF,,16,16,16,16
2021-03-07,CARLSBAD,,3,3,3,3
2021-03-07,CHULA VISTA,,3,3,3,3
2021-03-07,EL CAJON,,3,3,3,3
2021-03-07,ESCONDIDO,,1,1,1,1
2021-03-07,HARBOR POLICE,,2,2,2,2
2021-03-07,LA MESA,,1,1,1,1
2021-03-07,OCEANSIDE,,7,7,7,7
2021-03-07,SAN DIEGO,,18,18,18,18
2021-03-07,SHERIFF,,8,8,8,8
