month,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids
2023-04,OCEANSIDE,True,57,53,57
2023-04,SAN DIEGO,False,4769,3766,4260
2023-04,SAN DIEGO,True,502,409,501
2023-04,SHERIFF,False,2471,1857,2330
2023-04,SHERIFF,True,326,257,323
2023-05,CARLSBAD,False,395,306,381
2023-05,CARLSBAD,True,29,25,29
2023-05,CHULA VISTA,False,867,644,763
2023-05,CHULA VISTA,True,121,83,121
2023-05,EL CAJON,False,376,297,355
2023-05,EL CAJON,True,72,60,71
2023-05,ESCONDIDO,False,520,415,487
2023-05,ESCONDIDO,True,86,69,85
2023-05,HARBOR POLICE,False,127,105,123
2023-05,HARBOR POLICE,True,6,4,6
2023-05,LA MESA,False,236,171,218
2023-05,LA MESA,True,37,30,37
2023-05,NATIONAL CITY,False,286,216,258
2023-05,NATIONAL CITY,True,37,26,37
2023-05,OCEANSIDE,False,693,578,662
2023-05,OCEANSIDE,True,54,48,54
2023-05,SAN DIEGO,False,4951,3929,4426
2023-05,SAN DIEGO,True,494,420,493
2023-05,SHERIFF,False,2651,1939,2473
2023-05,SHERIFF,True,342,291,340
2023-06,CARLSBAD,False,388,301,372
2023-06,CARLSBAD,True,27,23,27
2023-06,CHULA VISTA,False,774,564,674
2023-06,CHULA VISTA,True,110,92,110
2023-06,EL CAJON,False,398,316,371
2023-06,EL CAJON,True,37,32,37
2023-06,ESCONDIDO,False,510,426,492
2023-06,ESCONDIDO,True,65,54,65
2023-06,HARBOR POLICE,False,121,96,117
2023-06,HARBOR POLICE,True,8,6,8
2023-06,LA MESA,False,201,153,187
2023-06,LA MESA,True,50,38,50
2023-06,NATIONAL CITY,False,261,196,232
2023-06,NATIONAL CITY,True,34,25,34
2023-06,OCEANSIDE,False,658,531,623
2023-06,OCEANSIDE,True,60,48,60
2023-06,SAN DIEGO,False,4678,3669,4132
2023-06,SAN DIEGO,True,440,375,438
2023-06,SHERIFF,False,2660,1985,2494
2023-06,SHERIFF,True,307,242,307
2023-07,CARLSBAD,False,392,302,381
2023-07,CARLSBAD,True,29,23,29
2023-07,CHULA VISTA,False,738,561,654
2023-07,CHULA VISTA,True,145,108,145
2023-07,EL CAJON,False,429,336,402
2023-07,EL CAJON,True,50,43,49
2023-07,ESCONDIDO,False,538,446,505
2023-07,ESCONDIDO,True,95,74,95
2023-07,HARBOR POLICE,False,156,122,148
2023-07,HARBOR POLICE,True,8,7,8
2023-07,LA MESA,False,224,163,205
2023-07,LA MESA,True,19,15,19
2023-07,NATIONAL CITY,False,282,204,240
2023-07,NATIONAL CITY,True,45,30,44
2023-07,OCEANSIDE,False,762,615,714
