month,group_type,offense_code,offense_description,source_rows
2026-07,A,11D,Forcible Fondling,35
2026-07,A,120,Robbery,80
2026-07,A,13A,Aggravated Assault,399
2026-07,A,13B,Simple Assault,642
2026-07,A,13C,Intimidation,88
2026-07,A,200,Arson,7
2026-07,A,210,Extortion/Blackmail,4
2026-07,A,220,Burglary/Breaking & Entering,147
2026-07,A,23A,Pocket-Picking,4
2026-07,A,23B,Purse-Snatching,2
2026-07,A,23C,Shoplifting,429
2026-07,A,23D,Theft From Building,34
2026-07,A,23F,Theft From Motor Vehicle,358
2026-07,A,23G,Theft of Motor Vehicle Parts/Accessories,81
2026-07,A,23H,All Other Larceny,645
2026-07,A,240,Motor Vehicle Theft,271
2026-07,A,250,Counterfeiting/Forgery,4
2026-07,A,26A,False Pretenses/Swindle/Confidence Game,42
2026-07,A,26B,Credit Card/Automatic Teller Fraud,8
2026-07,A,26C,Impersonation,182
2026-07,A,26F,Identity Theft,14
2026-07,A,270,Embezzlement,7
2026-07,A,280,Stolen Property Offenses,38
2026-07,A,290,Destruction/Damage/Vandalism of Property,574
2026-07,A,35A,Drug/narcotic Violations,463
2026-07,A,35B,Drug Equipment Violations,302
2026-07,A,36B,Statutory Rape,3
2026-07,A,40A,Prostitution,6
2026-07,A,520,Weapon Law Violations,62
2026-07,A,64A,"Human trafficking, Commercial Sex Acts",18
2026-07,A,64B,"Human Trafficking, Involuntary Servitude",1
2026-07,A,720,Animal Cruelty,3
2026-07,B,90B,Curfew/Loitering/Vagrancy Violations,72
2026-07,B,90C,Disorderly Conduct,185
2026-07,B,90D,Driving Under the Influence,155
2026-07,B,90E,Drunkenness,2
2026-07,B,90F,Family Offenses (Nonviolent),1
2026-07,B,90G,Liquor Law Violations,11
2026-07,B,90J,Trespass of Real Property,28
2026-07,B,90Z,All Other Offenses,1420
2026-08,A,09A,Murder and Nonnegligent Manslaughter,4
2026-08,A,100,Kidnapping/Abduction,34
2026-08,A,11A,Forcible Rape,26
2026-08,A,11B,Forcible Sodomy,3
2026-08,A,11C,Sexual Assault With an Object,2
2026-08,A,11D,Forcible Fondling,29
2026-08,A,120,Robbery,95
2026-08,A,13A,Aggravated Assault,435
2026-08,A,13B,Simple Assault,664
2026-08,A,13C,Intimidation,88
2026-08,A,200,Arson,11
2026-08,A,210,Extortion/Blackmail,6
2026-08,A,220,Burglary/Breaking & Entering,154
2026-08,A,23A,Pocket-Picking,2
2026-08,A,23B,Purse-Snatching,6
2026-08,A,23C,Shoplifting,432
2026-08,A,23D,Theft From Building,32
2026-08,A,23F,Theft From Motor Vehicle,342
2026-08,A,23G,Theft of Motor Vehicle Parts/Accessories,83
2026-08,A,23H,All Other Larceny,589
2026-08,A,240,Motor Vehicle Theft,284
2026-08,A,250,Counterfeiting/Forgery,4
2026-08,A,26A,False Pretenses/Swindle/Confidence Game,29
2026-08,A,26B,Credit Card/Automatic Teller Fraud,7
2026-08,A,26C,Impersonation,171
2026-08,A,26F,Identity Theft,26
2026-08,A,26G,Hacking/Computer Fraud,1
2026-08,A,270,Embezzlement,18
2026-08,A,280,Stolen Property Offenses,45
2026-08,A,290,Destruction/Damage/Vandalism of Property,556
2026-08,A,35A,Drug/narcotic Violations,409
2026-08,A,35B,Drug Equipment Violations,269
2026-08,A,36B,Statutory Rape,1
2026-08,A,370,Pornography/Obscene Material,1
2026-08,A,40A,Prostitution,6
2026-08,A,40B,Assisting or Promoting Prostitution,3
2026-08,A,520,Weapon Law Violations,61
2026-08,A,64A,"Human trafficking, Commercial Sex Acts",2
2026-08,A,64B,"Human Trafficking, Involuntary Servitude",1
2026-08,A,720,Animal Cruelty,3
2026-08,B,90B,Curfew/Loitering/Vagrancy Violations,85
2026-08,B,90C,Disorderly Conduct,173
2026-08,B,90D,Driving Under the Influence,115
2026-08,B,90G,Liquor Law Violations,7
2026-08,B,90J,Trespass of Real Property,26
2026-08,B,90Z,All Other Offenses,1346
2026-09,A,09A,Murder and Nonnegligent Manslaughter,1
2026-09,A,100,Kidnapping/Abduction,14
2026-09,A,11A,Forcible Rape,27
2026-09,A,11B,Forcible Sodomy,3
2026-09,A,11C,Sexual Assault With an Object,2
2026-09,A,11D,Forcible Fondling,8
2026-09,A,120,Robbery,63
2026-09,A,13A,Aggravated Assault,259
2026-09,A,13B,Simple Assault,433
